filename,fold,target,category,esc10,src_file,take
3-154926-B-40.wav,3,3,helicopter,True,154926,B
4-175000-C-40.wav,4,3,helicopter,True,175000,C
1-28135-A-11.wav,1,5,sea_waves,True,28135,A
3-154957-A-1.wav,3,4,rooster,True,154957,A
2-118964-A-0.wav,2,0,dog,True,118964,A
2-107351-B-20.wav,2,2,crying_baby,True,107351,B
5-181766-A-10.wav,5,1,rain,True,181766,A
2-119102-A-21.wav,2,6,sneezing,True,119102,A
4-167063-C-11.wav,4,5,sea_waves,True,167063,C
2-37806-B-40.wav,2,3,helicopter,True,37806,B
1-172649-F-40.wav,1,3,helicopter,True,172649,F
5-202220-A-21.wav,5,6,sneezing,True,202220,A
1-47273-A-21.wav,1,6,sneezing,True,47273,A
1-64398-A-41.wav,1,7,chainsaw,True,64398,A
2-50667-B-41.wav,2,7,chainsaw,True,50667,B
1-34119-B-1.wav,1,4,rooster,True,34119,B
4-175000-A-40.wav,4,3,helicopter,True,175000,A
5-213077-A-11.wav,5,5,sea_waves,True,213077,A
3-171012-A-38.wav,3,9,clock_tick,True,171012,A
5-219379-A-11.wav,5,5,sea_waves,True,219379,A
1-91359-A-11.wav,1,5,sea_waves,True,91359,A
1-181071-A-40.wav,1,3,helicopter,True,181071,A
5-221518-A-21.wav,5,6,sneezing,True,221518,A
4-169127-A-41.wav,4,7,chainsaw,True,169127,A
1-100032-A-0.wav,1,0,dog,True,100032,A
5-234879-A-1.wav,5,4,rooster,True,234879,A
2-155801-A-11.wav,2,5,sea_waves,True,155801,A
3-164688-A-38.wav,3,9,clock_tick,True,164688,A
4-165823-B-41.wav,4,7,chainsaw,True,165823,B
2-131943-A-38.wav,2,9,clock_tick,True,131943,A
5-233160-A-1.wav,5,4,rooster,True,233160,A
3-148330-A-21.wav,3,6,sneezing,True,148330,A
4-165823-A-41.wav,4,7,chainsaw,True,165823,A
1-47274-A-21.wav,1,6,sneezing,True,47274,A
3-171041-A-38.wav,3,9,clock_tick,True,171041,A
2-18766-B-12.wav,2,8,crackling_fire,True,18766,B
2-151079-A-20.wav,2,2,crying_baby,True,151079,A
5-194892-A-10.wav,5,1,rain,True,194892,A
2-95258-B-1.wav,2,4,rooster,True,95258,B
2-68391-B-41.wav,2,7,chainsaw,True,68391,B
5-216370-A-41.wav,5,7,chainsaw,True,216370,A
1-47250-B-41.wav,1,7,chainsaw,True,47250,B
1-85362-A-0.wav,1,0,dog,True,85362,A
1-21934-A-38.wav,1,9,clock_tick,True,21934,A
2-102852-A-11.wav,2,5,sea_waves,True,102852,A
5-216370-B-41.wav,5,7,chainsaw,True,216370,B
2-80482-A-20.wav,2,2,crying_baby,True,80482,A
